skin_isim;bynogame_fiyat_tl;son_hafta_satılan;son_2_hafta_satılan;son_1_ay_satılan;son_2_ay_satılan;son_3_ay_satılan;son_hafta_ortalama_fiyat;son_2_hafta_ortalama_fiyat;son_1_ay_ortalama_fiyat;son_2_ay_ortalama_fiyat;son_3_ay_ortalama_fiyat
★ Falchion Knife | Boreal Forest (Well-Worn);4.445;-;-;-;-;-;;;-;;
CZ75-Auto | Emerald (Minimal Wear);1.500;-;-;-;-;-;;;-;;
★ StatTrak™ Falchion Knife | Forest DDPAT (Field-Tested);5.660;-;-;-;-;-;;;-;;
StatTrak™ CZ75-Auto | Yellow Jacket (Factory New);1.853;-;-;-;-;-;;;-;;
★ Falchion Knife | Slaughter (Factory New);12.289;-;-;-;1;2;;;-;8900 ₺;8950 ₺
★ StatTrak™ Falchion Knife | Boreal Forest (Field-Tested);5.340;1;1;1;2;2;3400 ₺;3400 ₺;3400 ₺;3610 ₺;3610 ₺
★ StatTrak™ Falchion Knife | Urban Masked (Field-Tested);5.195;-;-;-;-;-;;;-;;
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred);2.253;-;-;-;-;-;;;-;;
★ Falchion Knife | Blue Steel (Minimal Wear);7.870;-;-;-;-;-;;;-;;
★ Falchion Knife | Crimson Web (Well-Worn);18.291;-;-;1;1;1;;;4600 ₺;4600 ₺;4600 ₺
★ Falchion Knife | Forest DDPAT (Battle-Scarred);3.989;-;1;1;1;2;;3600 ₺;3600 ₺;3600 ₺;3131 ₺
M4A1-S | Icarus Fell (Minimal Wear);25.300;-;-;-;-;-;;;-;;
StatTrak™ AWP | Hyper Beast (Battle-Scarred);2.200;-;-;-;1;1;;;-;1400 ₺;1400 ₺
★ Falchion Knife | Stained (Well-Worn);4.299;-;-;-;1;2;;;-;3200 ₺;3300 ₺
M4A4 | Poseidon (Minimal Wear);35.717;-;-;-;-;-;;;-;;
★ Falchion Knife | Crimson Web (Battle-Scarred);5.866;-;-;-;-;1;;;-;;
StatTrak™ AK-47 | Aquamarine Revenge (Minimal Wear);5.479;-;-;-;3;3;;;-;4551 ₺;4551 ₺
Desert Eagle | Sunset Storm 弐 (Factory New);12.564;-;-;-;-;-;;;-;;
StatTrak™ AWP | Hyper Beast (Minimal Wear);4.439;-;-;-;-;2;;;-;;
Galil AR | Aqua Terrace (Factory New);7.003;-;-;-;-;-;;;-;;
M4A4 | Daybreak (Factory New);12.864;-;-;-;-;-;;;-;;
★ Falchion Knife | Safari Mesh (Well-Worn);4.824;-;-;-;-;-;;;-;;
MAC-10 | Fade (Minimal Wear);2.206;1;2;2;3;4;2000 ₺;1750 ₺;1750 ₺;1969 ₺;1727 ₺
AK-47 | Hydroponic (Minimal Wear);63.000;-;-;-;-;-;;;-;;
★ Falchion Knife | Scorched (Battle-Scarred);4.500;1;1;1;1;2;3100 ₺;3100 ₺;3100 ₺;3100 ₺;3013 ₺
MAG-7 | Counter Terrace (Factory New);5.000;-;-;-;-;-;;;-;;
★ Falchion Knife | Case Hardened (Minimal Wear);10.999;-;-;1;1;2;;;10263 ₺;10263 ₺;8957 ₺
AK-47 | Hydroponic (Field-Tested);38.118;-;-;-;-;-;;;-;;
★ Falchion Knife | Boreal Forest (Field-Tested);4.050;1;1;1;5;12;3799 ₺;3799 ₺;3799 ₺;3489 ₺;3371 ₺
★ Falchion Knife | Safari Mesh (Field-Tested);4.131;-;-;-;-;-;;;-;;
Five-SeveN | Nitro (Minimal Wear);1.597;-;-;-;-;-;;;-;;
Tec-9 | Hades (Field-Tested);843;-;-;-;-;-;;;-;;
AWP | Sun in Leo (Battle-Scarred);868;-;-;-;-;-;;;-;;
USP-S | Para Green (Factory New);790;2;2;2;2;3;782 ₺;782 ₺;782 ₺;782 ₺;704 ₺
USP-S | Para Green (Minimal Wear);549;-;-;-;-;-;;;-;;
P250 | Mint Kimono (Factory New);216;-;-;-;-;-;;;-;;
StatTrak™ AWP | Hyper Beast (Field-Tested);2.503;-;1;3;6;7;;1850 ₺;1833 ₺;1983 ₺;1938 ₺
M4A1-S | Hot Rod (Factory New);34.999;-;-;1;2;3;;;39746 ₺;34402 ₺;32668 ₺
AWP | Sun in Leo (Well-Worn);900;-;-;1;1;2;;;600 ₺;600 ₺;583 ₺
Desert Eagle | Night (Well-Worn);586;-;-;-;-;1;;;-;;
G3SG1 | Orange Kimono (Factory New);210;-;-;-;-;-;;;-;;
P250 | Mint Kimono (Well-Worn);156;-;-;-;-;-;;;-;;
Desert Eagle | Midnight Storm (Well-Worn);1.261;-;-;-;-;-;;;-;;
★ Falchion Knife | Blue Steel (Well-Worn);6.881;1;1;1;2;3;6000 ₺;6000 ₺;6000 ₺;5500 ₺;5500 ₺
Tec-9 | Terrace (Field-Tested);5.618;-;-;-;-;-;;;-;;
Desert Eagle | Sunset Storm 壱 (Factory New);13.913;-;-;1;1;1;;;9016 ₺;9016 ₺;9016 ₺
★ Falchion Knife | Forest DDPAT (Field-Tested);3.500;-;-;1;2;4;;;3200 ₺;3500 ₺;3350 ₺
MP9 | Pandora's Box (Factory New);6.605;-;-;-;-;-;;;-;;
AUG | Akihabara Accept (Field-Tested);22.898;-;-;-;-;-;;;-;;
Galil AR | Urban Rubble (Minimal Wear);639;-;-;-;-;-;;;-;;
UMP-45 | Minotaur's Labyrinth (Minimal Wear);4.650;-;-;-;-;-;;;-;;
Galil AR | Urban Rubble (Factory New);881;-;-;-;-;-;;;-;;
Dual Berettas | Moon in Libra (Well-Worn);258;-;-;-;-;-;;;-;;
USP-S | Para Green (Field-Tested);556;-;-;-;-;-;;;-;;
MP7 | Full Stop (Factory New);1.779;-;-;-;-;-;;;-;;
AUG | Akihabara Accept (Well-Worn);14.867;-;-;-;-;-;;;-;;
PP-Bizon | Bamboo Print (Factory New);277;-;-;-;-;-;;;-;;
P2000 | Pathfinder (Minimal Wear);1.008;-;-;-;-;-;;;-;;
P250 | Crimson Kimono (Factory New);1.133;-;-;-;-;-;;;-;;
Desert Eagle | Night (Minimal Wear);525;1;2;3;4;6;500 ₺;493 ₺;462 ₺;471 ₺;488 ₺
MP7 | Asterion (Minimal Wear);213;-;-;-;-;-;;;-;;
M249 | Shipping Forecast (Minimal Wear);1.075;-;-;-;-;-;;;-;;
StatTrak™ MP9 | Ruby Poison Dart (Battle-Scarred);88;-;-;-;-;-;;;-;;
P2000 | Pathfinder (Field-Tested);3.017;-;-;-;-;-;;;-;;
Desert Eagle | Midnight Storm (Battle-Scarred);1.061;-;-;-;-;-;;;-;;
MAG-7 | Seabird (Factory New);258;-;-;-;-;-;;;-;;
P250 | Crimson Kimono (Minimal Wear);1.131;-;-;-;-;-;;;-;;
Tec-9 | Hades (Well-Worn);848;-;-;-;-;-;;;-;;
M249 | Shipping Forecast (Factory New);1.085;-;-;-;-;-;;;-;;
Desert Eagle | Night (Battle-Scarred);529;-;-;-;-;-;;;-;;
P250 | Crimson Kimono (Battle-Scarred);1.243;-;-;-;-;-;;;-;;
★ Falchion Knife | Scorched (Field-Tested);4.898;-;1;2;6;9;;3650 ₺;3725 ₺;3556 ₺;3460 ₺
MP9 | Pandora's Box (Minimal Wear);6.499;-;-;-;-;-;;;-;;
P2000 | Pathfinder (Factory New);1.241;-;-;-;-;-;;;-;;
Nova | Moon in Libra (Well-Worn);255;-;-;-;-;-;;;-;;
MP7 | Asterion (Battle-Scarred);288;-;-;-;-;-;;;-;;
M249 | Impact Drill (Factory New);220;-;-;-;-;-;;;-;;
P250 | Crimson Kimono (Field-Tested);1.174;-;-;-;-;-;;;-;;
Dual Berettas | Moon in Libra (Factory New);175;-;-;-;2;2;;;-;157 ₺;157 ₺
MAG-7 | Seabird (Minimal Wear);0;-;-;-;-;-;;;-;;
AUG | Daedalus (Minimal Wear);197;-;-;-;-;-;;;-;;
M249 | Impact Drill (Minimal Wear);111;-;-;-;1;1;;;-;85 ₺;85 ₺
G3SG1 | Orange Kimono (Battle-Scarred);115;-;-;-;-;-;;;-;;
Tec-9 | Bamboo Forest (Well-Worn);297;-;-;-;-;-;;;-;;
Sawed-Off | Bamboo Shadow (Minimal Wear);163;-;-;-;-;-;;;-;;
Sawed-Off | Bamboo Shadow (Battle-Scarred);174;-;-;-;-;-;;;-;;
CZ75-Auto | Army Sheen (Field-Tested);136;-;-;-;-;-;;;-;;
SCAR-20 | Army Sheen (Minimal Wear);116;-;-;-;-;-;;;-;;
MAG-7 | Seabird (Well-Worn);106;-;-;-;-;-;;;-;;
PP-Bizon | Bamboo Print (Well-Worn);181;-;-;-;-;-;;;-;;
CZ75-Auto | Emerald (Factory New);1.399;-;-;1;1;1;;;995 ₺;995 ₺;995 ₺
M249 | Impact Drill (Well-Worn);89;-;-;-;-;-;;;-;;
StatTrak™ SG 553 | Cyrex (Battle-Scarred);803;-;-;-;-;-;;;-;;
M4A1-S | Icarus Fell (Factory New);20.649;-;-;1;1;3;;;16000 ₺;16000 ₺;15663 ₺
Desert Eagle | Midnight Storm (Factory New);999;1;1;2;6;9;930 ₺;930 ₺;928 ₺;863 ₺;876 ₺
MAG-7 | Seabird (Field-Tested);117;-;-;-;-;-;;;-;;
Galil AR | Urban Rubble (Field-Tested);648;-;-;-;-;-;;;-;;
Nova | Moon in Libra (Minimal Wear);202;1;1;1;1;1;186 ₺;186 ₺;186 ₺;186 ₺;186 ₺
★ Falchion Knife | Safari Mesh (Battle-Scarred);4.500;-;-;-;1;1;;;-;3500 ₺;3500 ₺
CZ75-Auto | Army Sheen (Minimal Wear);149;-;-;-;-;-;;;-;;
Nova | Moon in Libra (Battle-Scarred);269;-;-;-;-;-;;;-;;
M249 | Impact Drill (Field-Tested);108;-;1;1;1;1;;75 ₺;75 ₺;75 ₺;75 ₺
P250 | Mint Kimono (Battle-Scarred);168;-;-;-;-;3;;;-;;
Sawed-Off | Bamboo Shadow (Factory New);185;-;-;-;-;-;;;-;;
SCAR-20 | Army Sheen (Factory New);178;-;-;-;-;-;;;-;;
Nova | Moon in Libra (Factory New);238;-;-;-;2;3;;;-;170 ₺;157 ₺
P250 | Mint Kimono (Minimal Wear);120;-;-;-;-;-;;;-;;
AUG | Daedalus (Factory New);200;-;-;-;-;1;;;-;;
CZ75-Auto | Army Sheen (Factory New);145;-;-;-;-;-;;;-;;
Nova | Moon in Libra (Field-Tested);201;-;-;-;-;-;;;-;;
★ StatTrak™ Falchion Knife | Safari Mesh (Field-Tested);4.473;1;1;1;1;1;3750 ₺;3750 ₺;3750 ₺;3750 ₺;3750 ₺
Desert Eagle | Midnight Storm (Field-Tested);900;-;1;1;2;2;;750 ₺;750 ₺;825 ₺;825 ₺
PP-Bizon | Bamboo Print (Minimal Wear);162;-;-;-;-;-;;;-;;
Dual Berettas | Moon in Libra (Field-Tested);230;-;-;-;1;1;;;-;152 ₺;152 ₺
G3SG1 | Orange Kimono (Field-Tested);120;-;-;-;-;-;;;-;;
Sawed-Off | Bamboo Shadow (Well-Worn);168;-;-;-;-;-;;;-;;
Tec-9 | Hades (Minimal Wear);924;-;-;-;-;-;;;-;;
P250 | Whiteout (Minimal Wear);1.200;-;-;-;-;-;;;-;;
G3SG1 | Orange Kimono (Minimal Wear);166;-;-;-;1;1;;;-;120 ₺;120 ₺
M249 | Shipping Forecast (Field-Tested);1.030;-;-;-;-;-;;;-;;
MP7 | Asterion (Field-Tested);227;-;-;-;-;-;;;-;;
★ Falchion Knife | Stained (Field-Tested);5.314;-;-;1;3;4;;;3400 ₺;3767 ₺;3750 ₺
AWP | Hyper Beast (Factory New);3.150;1;1;1;3;10;2880 ₺;2880 ₺;2880 ₺;2810 ₺;2755 ₺
M249 | Impact Drill (Battle-Scarred);120;-;-;-;-;-;;;-;;
★ Falchion Knife | Case Hardened (Field-Tested);8.600;1;1;3;3;5;6300 ₺;6300 ₺;7263 ₺;7263 ₺;6648 ₺
StatTrak™ M4A4 | Evil Daimyo (Well-Worn);190;-;-;-;-;-;;;-;;
Tec-9 | Bamboo Forest (Factory New);295;-;-;-;2;2;;;-;226 ₺;226 ₺
★ Falchion Knife | Case Hardened (Well-Worn);7.750;-;-;-;-;-;;;-;;
Tec-9 | Bamboo Forest (Field-Tested);105;-;1;2;3;4;;70 ₺;100 ₺;102 ₺;102 ₺
★ Falchion Knife | Blue Steel (Field-Tested);6.000;-;-;-;1;3;;;-;5700 ₺;5417 ₺
AUG | Daedalus (Field-Tested);185;-;-;-;1;1;;;-;150 ₺;150 ₺
StatTrak™ CZ75-Auto | Yellow Jacket (Field-Tested);452;-;-;-;-;-;;;-;;
PP-Bizon | Bamboo Print (Field-Tested);142;-;-;-;-;-;;;-;;
StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn);2.255;1;1;2;2;3;1550 ₺;1550 ₺;1525 ₺;1525 ₺;1487 ₺
StatTrak™ CZ75-Auto | Yellow Jacket (Battle-Scarred);430;-;-;-;-;-;;;-;;
StatTrak™ FAMAS | Neural Net (Well-Worn);102;-;-;1;1;1;;;59 ₺;59 ₺;59 ₺
StatTrak™ AWP | Hyper Beast (Well-Worn);2.175;-;-;-;-;1;;;-;;
★ Falchion Knife | Urban Masked (Minimal Wear);5.000;-;-;-;3;4;;;-;3767 ₺;3800 ₺
StatTrak™ CZ75-Auto | Yellow Jacket (Well-Worn);265;-;-;-;-;-;;;-;;
StatTrak™ FAMAS | Neural Net (Battle-Scarred);71;-;-;-;-;-;;;-;;
StatTrak™ Galil AR | Rocket Pop (Factory New);657;-;-;1;1;1;;;732 ₺;732 ₺;732 ₺
StatTrak™ M4A4 | Evil Daimyo (Battle-Scarred);191;-;-;-;-;-;;;-;;
StatTrak™ SG 553 | Cyrex (Well-Worn);744;-;-;-;-;-;;;-;;
StatTrak™ CZ75-Auto | Yellow Jacket (Minimal Wear);699;-;-;-;-;-;;;-;;
StatTrak™ MP9 | Ruby Poison Dart (Well-Worn);60;-;-;-;-;1;;;-;;
StatTrak™ M4A4 | Evil Daimyo (Factory New);556;-;1;1;2;2;;425 ₺;425 ₺;548 ₺;548 ₺
Negev | Loudmouth (Minimal Wear);309;-;1;1;1;1;;215 ₺;215 ₺;215 ₺;215 ₺
StatTrak™ Nova | Ranger (Factory New);75;-;-;-;-;-;;;-;;
★ Falchion Knife | Night (Field-Tested);4.737;-;-;1;3;4;;;4100 ₺;3780 ₺;3698 ₺
StatTrak™ UMP-45 | Riot (Factory New);42;-;1;1;4;6;;40 ₺;40 ₺;45 ₺;44 ₺
StatTrak™ MP9 | Ruby Poison Dart (Factory New);248;-;-;-;-;1;;;-;;
StatTrak™ SG 553 | Cyrex (Minimal Wear);715;-;-;-;-;-;;;-;;
★ Falchion Knife | Stained (Minimal Wear);11.500;-;-;3;4;6;;;5241 ₺;4993 ₺;4646 ₺
StatTrak™ MP7 | Nemesis (Minimal Wear);526;-;1;2;3;3;;450 ₺;498 ₺;472 ₺;472 ₺
P2000 | Handgun (Factory New);227;2;2;6;9;11;190 ₺;190 ₺;153 ₺;143 ₺;139 ₺
StatTrak™ Glock-18 | Bunsen Burner (Factory New);241;-;-;-;-;1;;;-;;
StatTrak™ Negev | Loudmouth (Battle-Scarred);76;-;-;-;-;-;;;-;;
SG 553 | Cyrex (Factory New);649;-;-;1;3;3;;;400 ₺;465 ₺;465 ₺
StatTrak™ P2000 | Handgun (Well-Worn);47;-;-;1;1;2;;;55 ₺;55 ₺;52 ₺
StatTrak™ MP9 | Ruby Poison Dart (Minimal Wear);154;-;-;-;-;1;;;-;;
MP9 | Ruby Poison Dart (Well-Worn);43;-;1;2;3;4;;42 ₺;36 ₺;40 ₺;38 ₺
StatTrak™ P90 | Elite Build (Factory New);184;-;-;-;-;-;;;-;;
StatTrak™ FAMAS | Neural Net (Minimal Wear);108;1;1;2;5;6;70 ₺;70 ₺;90 ₺;80 ₺;78 ₺
StatTrak™ SG 553 | Cyrex (Field-Tested);350;-;-;-;1;1;;;-;250 ₺;250 ₺
StatTrak™ Negev | Loudmouth (Well-Worn);70;-;-;-;-;-;;;-;;
★ Falchion Knife;7.234;-;-;2;3;4;;;5325 ₺;5350 ₺;5263 ₺
StatTrak™ USP-S | Torque (Well-Worn);96;-;-;-;-;-;;;-;;
AWP | Hyper Beast (Battle-Scarred);847;1;1;3;7;9;800 ₺;800 ₺;688 ₺;658 ₺;648 ₺
SG 553 | Cyrex (Well-Worn);140;-;-;1;3;3;;;110 ₺;120 ₺;120 ₺
MP7 | Nemesis (Field-Tested);201;-;1;1;2;2;;211 ₺;211 ₺;227 ₺;227 ₺
CZ75-Auto | Yellow Jacket (Minimal Wear);367;-;1;1;2;2;;220 ₺;220 ₺;280 ₺;280 ₺
StatTrak™ M4A4 | Evil Daimyo (Minimal Wear);263;-;1;2;3;4;;200 ₺;249 ₺;258 ₺;275 ₺
StatTrak™ P2000 | Handgun (Minimal Wear);121;1;2;3;4;5;121 ₺;125 ₺;129 ₺;130 ₺;133 ₺
StatTrak™ FAMAS | Neural Net (Factory New);172;-;-;-;1;1;;;-;117 ₺;117 ₺
CZ75-Auto | Yellow Jacket (Field-Tested);207;-;-;-;-;-;;;-;;
MP7 | Nemesis (Minimal Wear);270;2;2;2;4;6;260 ₺;260 ₺;260 ₺;244 ₺;264 ₺
SG 553 | Cyrex (Battle-Scarred);159;-;-;-;-;-;;;-;;
StatTrak™ MP7 | Nemesis (Factory New);1.344;-;-;-;-;-;;;-;;
USP-S | Torque (Battle-Scarred);75;-;-;-;-;-;;;-;;
CZ75-Auto | Yellow Jacket (Battle-Scarred);175;-;-;1;1;1;;;101 ₺;101 ₺;101 ₺
M4A4 | Evil Daimyo (Battle-Scarred);79;-;-;-;1;1;;;-;60 ₺;60 ₺
CZ75-Auto | Yellow Jacket (Well-Worn);140;-;-;-;-;-;;;-;;
StatTrak™ USP-S | Torque (Minimal Wear);100;-;2;5;16;23;;100 ₺;97 ₺;104 ₺;105 ₺
StatTrak™ P2000 | Handgun (Field-Tested);66;-;1;1;3;3;;86 ₺;86 ₺;66 ₺;66 ₺
M4A4 | Evil Daimyo (Well-Worn);60;-;-;1;4;4;;;80 ₺;68 ₺;68 ₺
MP9 | Ruby Poison Dart (Factory New);65;-;-;1;8;10;;;74 ₺;70 ₺;69 ₺
StatTrak™ Glock-18 | Bunsen Burner (Well-Worn);95;-;-;-;-;-;;;-;;
StatTrak™ MP7 | Nemesis (Field-Tested);477;-;-;-;-;-;;;-;;
MP7 | Nemesis (Factory New);494;2;2;2;3;4;400 ₺;400 ₺;400 ₺;409 ₺;409 ₺
SG 553 | Cyrex (Minimal Wear);250;-;-;3;7;8;;;256 ₺;247 ₺;244 ₺
★ StatTrak™ Flip Knife | Marble Fade (Minimal Wear);0;-;-;-;-;-;;;-;;
StatTrak™ M4A1-S | Hyper Beast (Factory New);16.536;-;-;-;-;-;;;-;;
★ StatTrak™ M9 Bayonet | Marble Fade (Factory New);51.250;-;-;1;2;3;;;41000 ₺;42000 ₺;41454 ₺
★ StatTrak™ Karambit | Doppler (Factory New);78.000;-;-;-;-;2;;;-;;
Sticker | Chi Bomb;40;-;1;1;5;6;;40 ₺;40 ₺;38 ₺;38 ₺
★ StatTrak™ Bayonet | Marble Fade (Factory New);27.577;-;1;1;1;2;;20000 ₺;20000 ₺;20000 ₺;19500 ₺
★ StatTrak™ Karambit | Tiger Tooth (Factory New);58.000;-;-;-;-;-;;;-;;
StatTrak™ FAMAS | Djinn (Factory New);1.085;-;-;-;-;-;;;-;;
StatTrak™ M4A1-S | Hyper Beast (Field-Tested);2.399;-;-;2;3;5;;;1638 ₺;1669 ₺;1708 ₺
StatTrak™ M4A1-S | Hyper Beast (Minimal Wear);4.947;-;1;1;1;1;;5500 ₺;5500 ₺;5500 ₺;5500 ₺
StatTrak™ MAC-10 | Neon Rider (Minimal Wear);1.123;-;-;-;-;-;;;-;;
M4A1-S | Hyper Beast (Factory New);5.502;-;-;-;2;2;;;-;4056 ₺;4056 ₺
StatTrak™ MAC-10 | Neon Rider (Well-Worn);730;-;-;-;-;1;;;-;;
StatTrak™ FAMAS | Djinn (Field-Tested);169;-;1;1;2;2;;169 ₺;169 ₺;167 ₺;167 ₺
StatTrak™ Five-SeveN | Monkey Business (Battle-Scarred);319;-;1;2;2;2;;180 ₺;145 ₺;145 ₺;145 ₺
Five-SeveN | Monkey Business (Minimal Wear);421;-;-;1;3;4;;;320 ₺;318 ₺;334 ₺
StatTrak™ FAMAS | Djinn (Well-Worn);242;-;-;-;-;-;;;-;;
StatTrak™ FAMAS | Djinn (Minimal Wear);406;-;-;-;-;-;;;-;;
StatTrak™ AK-47 | Elite Build (Factory New);990;-;2;2;5;11;;899 ₺;899 ₺;786 ₺;760 ₺
StatTrak™ CZ75-Auto | Pole Position (Factory New);178;-;-;1;2;2;;;210 ₺;178 ₺;178 ₺
FAMAS | Djinn (Battle-Scarred);64;1;1;1;1;2;45 ₺;45 ₺;45 ₺;45 ₺;38 ₺
StatTrak™ MAC-10 | Neon Rider (Field-Tested);926;-;1;1;2;2;;550 ₺;550 ₺;573 ₺;573 ₺
StatTrak™ FAMAS | Djinn (Battle-Scarred);208;-;-;-;-;-;;;-;;
Galil AR | Eco (Minimal Wear);1.250;-;-;-;3;3;;;-;1000 ₺;1000 ₺
MAG-7 | Heat (Factory New);112;1;1;1;6;8;80 ₺;80 ₺;80 ₺;114 ₺;112 ₺
CZ75-Auto | Pole Position (Factory New);80;-;-;1;1;2;;;94 ₺;94 ₺;77 ₺
FAMAS | Djinn (Factory New);531;-;-;-;-;-;;;-;;
StatTrak™ Five-SeveN | Monkey Business (Field-Tested);325;1;1;1;4;5;335 ₺;335 ₺;335 ₺;228 ₺;232 ₺
StatTrak™ AWP | Worm God (Well-Worn);190;1;1;1;2;2;190 ₺;190 ₺;190 ₺;170 ₺;170 ₺
MAC-10 | Neon Rider (Factory New);380;-;3;9;24;36;;333 ₺;396 ₺;374 ₺;361 ₺
StatTrak™ MAG-7 | Heat (Factory New);419;-;-;-;-;-;;;-;;
StatTrak™ Galil AR | Eco (Battle-Scarred);253;-;-;-;1;1;;;-;234 ₺;234 ₺
StatTrak™ MAG-7 | Heat (Minimal Wear);129;-;-;-;-;-;;;-;;
StatTrak™ Desert Eagle | Bronze Deco (Minimal Wear);41;1;8;13;25;39;41 ₺;40 ₺;40 ₺;38 ₺;42 ₺
FAMAS | Djinn (Well-Worn);64;-;2;4;4;4;;55 ₺;54 ₺;54 ₺;54 ₺
StatTrak™ MAG-7 | Heat (Field-Tested);41;2;2;2;3;6;59 ₺;59 ₺;59 ₺;56 ₺;44 ₺
StatTrak™ AWP | Worm God (Field-Tested);150;-;4;7;12;13;;117 ₺;115 ₺;112 ₺;113 ₺
StatTrak™ CZ75-Auto | Pole Position (Minimal Wear);136;-;-;1;4;5;;;85 ₺;84 ₺;87 ₺
CZ75-Auto | Pole Position (Minimal Wear);44;1;1;2;5;7;49 ₺;49 ₺;46 ₺;44 ₺;40 ₺
Five-SeveN | Monkey Business (Battle-Scarred);150;-;-;1;1;3;;;55 ₺;55 ₺;61 ₺
MAC-10 | Neon Rider (Well-Worn);268;-;-;1;2;3;;;175 ₺;215 ₺;217 ₺
FAMAS | Djinn (Minimal Wear);195;-;-;-;-;1;;;-;;
StatTrak™ Galil AR | Eco (Field-Tested);415;1;1;1;3;4;310 ₺;310 ₺;310 ₺;317 ₺;351 ₺
Galil AR | Eco (Battle-Scarred);92;-;-;1;3;5;;;100 ₺;82 ₺;75 ₺
StatTrak™ AK-47 | Elite Build (Battle-Scarred);124,99;1;1;1;3;6;110 ₺;110 ₺;110 ₺;100 ₺;98 ₺
FAMAS | Djinn (Field-Tested);91;-;-;5;9;10;;;66 ₺;67 ₺;68 ₺
★ Bayonet | Marble Fade (Minimal Wear);30.366;-;-;-;-;-;;;-;;
Sticker | 3DMAX | Katowice 2015;2.500;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Damascus Steel (Factory New);19.156;-;-;-;-;-;;;-;;
Music Kit | Damjan Mravunac, The Talos Principle;107;-;-;1;1;1;;;222 ₺;222 ₺;222 ₺
★ StatTrak™ Bayonet | Damascus Steel (Field-Tested);14.100;-;-;-;-;-;;;-;;
★ Bayonet | Tiger Tooth (Minimal Wear);23.481;-;-;1;1;1;;;15001 ₺;15001 ₺;15001 ₺
★ StatTrak™ Karambit | Damascus Steel (Field-Tested);32.956;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Ultraviolet (Battle-Scarred);12.383;-;-;-;1;1;;;-;5100 ₺;5100 ₺
Sticker | Headshot Guarantee;40;3;4;4;5;10;40 ₺;40 ₺;40 ₺;39 ₺;38 ₺
Music Kit | Matt Lange, IsoRhythm;70;1;1;2;3;7;68 ₺;68 ₺;64 ₺;66 ₺;59 ₺
Music Kit | Mateo Messina, For No Mankind;78;-;-;-;1;1;;;-;68 ₺;68 ₺
★ StatTrak™ Bayonet | Tiger Tooth (Factory New);22.750;-;1;1;2;2;;18500 ₺;18500 ₺;17500 ₺;17500 ₺
★ Karambit | Damascus Steel (Factory New);41.172;-;-;-;1;2;;;-;30900 ₺;28950 ₺
★ M9 Bayonet | Damascus Steel (Battle-Scarred);28.258;-;-;-;-;-;;;-;;
★ Karambit | Damascus Steel (Battle-Scarred);34.975;-;-;-;-;-;;;-;;
★ StatTrak™ Karambit | Ultraviolet (Field-Tested);27.000;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Tiger Tooth (Factory New);18.456;-;-;-;-;1;;;-;;
★ StatTrak™ Bayonet | Doppler (Factory New);22.900;-;-;-;2;2;;;-;18861 ₺;18861 ₺
★ Karambit | Damascus Steel (Well-Worn);33.831;-;-;-;-;-;;;-;;
★ StatTrak™ Gut Knife | Damascus Steel (Factory New);5.471;-;-;1;1;1;;;3800 ₺;3800 ₺;3800 ₺
★ Gut Knife | Marble Fade (Minimal Wear);10.600;-;-;-;-;-;;;-;;
★ StatTrak™ Gut Knife | Damascus Steel (Minimal Wear);6.500;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Doppler (Minimal Wear);28.425;-;-;-;-;-;;;-;;
★ Karambit | Marble Fade (Factory New);47.000;1;1;1;4;5;45520 ₺;45520 ₺;45520 ₺;46268 ₺;48314 ₺
★ StatTrak™ M9 Bayonet | Damascus Steel (Field-Tested);25.555;-;-;-;-;1;;;-;;
★ StatTrak™ Flip Knife | Marble Fade (Factory New);21.422;-;-;-;-;1;;;-;;
★ Flip Knife | Tiger Tooth (Minimal Wear);19.800;-;-;-;1;1;;;-;11450 ₺;11450 ₺
★ Flip Knife | Marble Fade (Minimal Wear);19.717;-;-;-;-;-;;;-;;
★ M9 Bayonet | Ultraviolet (Minimal Wear);31.812;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Doppler (Factory New);19.000;-;-;-;1;1;;;-;15500 ₺;15500 ₺
★ StatTrak™ Flip Knife | Ultraviolet (Field-Tested);8.759;-;-;-;-;-;;;-;;
★ M9 Bayonet | Tiger Tooth (Factory New);38.999;-;1;1;2;4;;32000 ₺;32000 ₺;33850 ₺;34175 ₺
★ Flip Knife | Damascus Steel (Battle-Scarred);7.521;-;-;-;-;-;;;-;;
★ Bayonet | Damascus Steel (Factory New);13.696;-;-;-;-;-;;;-;;
★ Bayonet | Damascus Steel (Battle-Scarred);15.035;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Ultraviolet (Field-Tested);10.890;-;-;-;-;-;;;-;;
★ StatTrak™ Gut Knife | Marble Fade (Factory New);8.100;-;-;-;-;-;;;-;;
★ Gut Knife | Rust Coat (Well-Worn);5.899;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Ultraviolet (Battle-Scarred);11.102;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Damascus Steel (Factory New);10.999;-;-;-;-;-;;;-;;
