skin_isim;bynogame_fiyat_tl;son_hafta_satılan;son_2_hafta_satılan;son_1_ay_satılan;son_2_ay_satılan;son_3_ay_satılan;son_hafta_ortalama_fiyat;son_2_hafta_ortalama_fiyat;son_1_ay_ortalama_fiyat;son_2_ay_ortalama_fiyat;son_3_ay_ortalama_fiyat
★ StatTrak™ Kukri Knife | Night Stripe (Field-Tested);6.000;-;-;1;1;3;;;5100 ₺;5100 ₺;5563 ₺
★ Kukri Knife | Stained (Factory New);11.575;-;-;-;1;2;;;-;9659 ₺;5505 ₺
★ Kukri Knife | Forest DDPAT (Minimal Wear);7.112;-;-;-;-;-;;;-;;
★ StatTrak™ Kukri Knife | Boreal Forest (Field-Tested);5.792;1;2;2;3;4;4250 ₺;4675 ₺;4675 ₺;4533 ₺;4650 ₺
★ StatTrak™ Kukri Knife | Boreal Forest (Minimal Wear);5.750;-;-;-;-;-;;;-;;
★ Kukri Knife | Stained (Minimal Wear);8.649;-;-;-;-;-;;;-;;
★ StatTrak™ Kukri Knife | Slaughter (Minimal Wear);13.500;-;-;-;-;-;;;-;;
★ Kukri Knife | Night Stripe (Well-Worn);5.823;-;-;1;1;1;;;6345 ₺;6345 ₺;6345 ₺
StatTrak™ AK-47 | Inheritance (Factory New);17.000;-;-;-;-;2;;;-;;
★ Kukri Knife | Stained (Battle-Scarred);7.246;-;-;-;1;2;;;-;6250 ₺;6125 ₺
★ Kukri Knife | Forest DDPAT (Battle-Scarred);5.134;-;-;-;3;6;;;-;4667 ₺;4517 ₺
★ Kukri Knife | Night Stripe (Battle-Scarred);5.784;-;-;1;1;2;;;4500 ₺;4500 ₺;4800 ₺
★ StatTrak™ Kukri Knife | Slaughter (Factory New);15.000;-;-;-;1;1;;;-;15250 ₺;15250 ₺
★ Kukri Knife | Safari Mesh (Minimal Wear);5.711;-;1;1;1;3;;4200 ₺;4200 ₺;4200 ₺;5120 ₺
★ StatTrak™ Kukri Knife | Safari Mesh (Field-Tested);5.220;-;-;-;2;2;;;-;4401 ₺;4401 ₺
★ Kukri Knife | Boreal Forest (Well-Worn);5.416;-;-;1;1;2;;;4550 ₺;4550 ₺;4450 ₺
StatTrak™ Zeus x27 | Olympus (Well-Worn);700;-;-;-;-;-;;;-;;
StatTrak™ NIGHTMODE Music Kit Box;266;-;-;-;-;-;;;-;;
★ StatTrak™ Kukri Knife | Blue Steel (Minimal Wear);12.276;-;-;-;-;-;;;-;;
★ Kukri Knife | Slaughter (Field-Tested);15.500;-;-;-;-;1;;;-;;
★ StatTrak™ Kukri Knife | Case Hardened (Battle-Scarred);10.297;-;-;-;-;-;;;-;;
★ Kukri Knife | Fade (Factory New);20.000;-;-;3;9;12;;;20471 ₺;21757 ₺;21857 ₺
StatTrak™ AK-47 | Inheritance (Minimal Wear);7.500;1;2;3;6;6;6400 ₺;6575 ₺;6450 ₺;6672 ₺;6672 ₺
★ StatTrak™ Kukri Knife | Fade (Factory New);25.604;-;-;2;3;3;;;20110 ₺;20740 ₺;20740 ₺
Sticker | Econometer (Lenticular);115;-;-;-;1;1;;;-;80 ₺;80 ₺
★ Kukri Knife | Crimson Web (Minimal Wear);16.999;1;1;1;1;2;13890 ₺;13890 ₺;13890 ₺;13890 ₺;14195 ₺
★ Kukri Knife | Blue Steel (Minimal Wear);11.017;1;1;1;1;4;8750 ₺;8750 ₺;8750 ₺;8750 ₺;9868 ₺
★ Kukri Knife | Slaughter (Factory New);15.750;-;-;1;1;2;;;14000 ₺;14000 ₺;14250 ₺
Sticker | Cedar Creek (Holo);40;-;-;-;-;2;;;-;;
Sticker | Loving Eyes (Holo);120;-;-;-;2;3;;;-;105 ₺;103 ₺
★ Kukri Knife | Urban Masked (Battle-Scarred);5.502;1;2;3;8;10;4650 ₺;4825 ₺;5017 ₺;4831 ₺;4931 ₺
★ StatTrak™ Kukri Knife | Urban Masked (Field-Tested);5.500;-;-;1;2;2;;;5526 ₺;5063 ₺;5063 ₺
StatTrak™ M4A1-S | Black Lotus (Battle-Scarred);968;1;1;1;2;2;750 ₺;750 ₺;750 ₺;770 ₺;770 ₺
★ Kukri Knife | Boreal Forest (Field-Tested);5.000;1;3;6;9;10;4250 ₺;4333 ₺;4633 ₺;4617 ₺;4565 ₺
AK-47 | Inheritance (Factory New);7.310;1;2;6;13;17;7280 ₺;6515 ₺;5913 ₺;5962 ₺;5850 ₺
★ Kukri Knife | Case Hardened (Battle-Scarred);9.506;-;-;-;2;4;;;-;7750 ₺;8025 ₺
StatTrak™ MP7 | Just Smile (Battle-Scarred);67;-;-;-;1;2;;;-;50 ₺;48 ₺
★ StatTrak™ Kukri Knife | Forest DDPAT (Field-Tested);5.000;-;-;-;1;2;;;-;5000 ₺;4451 ₺
★ Kukri Knife | Urban Masked (Minimal Wear);7.539;-;-;1;1;1;;;5450 ₺;5450 ₺;5450 ₺
★ Kukri Knife | Boreal Forest (Battle-Scarred);5.273;-;-;1;1;1;;;4000 ₺;4000 ₺;4000 ₺
StatTrak™ AWP | Chrome Cannon (Well-Worn);1.725;1;2;2;2;4;1450 ₺;1475 ₺;1475 ₺;1475 ₺;1562 ₺
★ Kukri Knife | Blue Steel (Field-Tested);8.250;-;-;1;2;4;;;9000 ₺;9000 ₺;8563 ₺
★ Kukri Knife | Blue Steel (Well-Worn);7.250;-;1;1;2;2;;7025 ₺;7025 ₺;7763 ₺;7763 ₺
★ Kukri Knife | Forest DDPAT (Field-Tested);5.000;-;-;2;4;6;;;4700 ₺;4750 ₺;4775 ₺
★ Kukri Knife | Safari Mesh (Battle-Scarred);5.551;-;1;1;1;1;;4216 ₺;4216 ₺;4216 ₺;4216 ₺
★ Kukri Knife | Scorched (Field-Tested);5.484;1;2;3;5;6;4750 ₺;4417 ₺;4528 ₺;4577 ₺;4564 ₺
StatTrak™ AK-47 | Inheritance (Field-Tested);5.009;1;2;2;2;5;3750 ₺;3916 ₺;3916 ₺;3916 ₺;3768 ₺
StatTrak™ M4A1-S | Black Lotus (Well-Worn);1.037;-;-;1;2;2;;;750 ₺;750 ₺;750 ₺
StatTrak™ AK-47 | Inheritance (Battle-Scarred);4.205;-;-;-;2;2;;;-;2800 ₺;2800 ₺
Five-SeveN | Hybrid (Factory New);95;-;1;1;4;6;;105 ₺;105 ₺;92 ₺;90 ₺
StatTrak™ Sawed-Off | Analog Input (Well-Worn);85;-;-;-;-;-;;;-;;
StatTrak™ Glock-18 | Block-18 (Battle-Scarred);75;-;-;-;-;-;;;-;;
StatTrak™ Five-SeveN | Hybrid (Factory New);338;-;-;-;-;-;;;-;;
★ Kukri Knife | Urban Masked (Field-Tested);5.370;-;1;5;8;10;;4250 ₺;4604 ₺;4815 ₺;4827 ₺
StatTrak™ Zeus x27 | Olympus (Battle-Scarred);662;-;-;-;-;1;;;-;;
M4A1-S | Black Lotus (Battle-Scarred);404;1;2;6;11;22;315 ₺;358 ₺;343 ₺;367 ₺;358 ₺
★ Kukri Knife | Night Stripe (Field-Tested);5.952;1;1;1;1;1;6556 ₺;6556 ₺;6556 ₺;6556 ₺;6556 ₺
★ Kukri Knife | Case Hardened (Field-Tested);10.499;1;1;4;4;4;9500 ₺;9500 ₺;9500 ₺;9500 ₺;9500 ₺
StatTrak™ MP7 | Just Smile (Factory New);329;-;-;-;-;1;;;-;;
★ Kukri Knife | Safari Mesh (Field-Tested);5.447;3;4;6;7;9;3924 ₺;4143 ₺;4112 ₺;4239 ₺;4208 ₺
★ Kukri Knife | Blue Steel (Battle-Scarred);9.464;-;-;-;-;1;;;-;;
AWP | Chrome Cannon (Factory New);5.830;-;-;-;3;6;;;-;5058 ₺;5135 ₺
